"name","title","phone","profile_pic","experience","stars","patients_handled","location","gender"
"Dr. Amrita Bhattacharya","Neurologist","9123456820","https://img.freepik.com/free-photo/young-beautiful-woman-pink-warm-sweater-natural-look-smiling-portrait-isolated-long-hair_285396-896.jpg","19","4.8","1450","Kolkata","Female"
"Dr. Shyam Rao","Pulmonologist","9123456821","https://images.pexels.com/photos/220453/pexels-photo-220453.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500","18","4.7","1200","Chennai","Male"
"Dr. Richa Jain","Oncologist","9123456822","https://img.freepik.com/free-photo/portrait-young-beautiful-woman_23-2148300301.jpg","15","4.5","1100","Bangalore","Female"
"Dr. Nitin Malhotra","Urologist","9123456823","https://images.pexels.com/photos/614810/pexels-photo-614810.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500","11","4.4","800","Delhi","Male"
"Dr. Sunita Rao","Psychiatrist","9123456824","https://img.freepik.com/free-photo/portrait-beautiful-young-woman_23-2148377992.jpg","16","4.6","850","Hyderabad","Female"
"Dr. Vinay Kumar","Orthopedic Surgeon","9123456825","https://images.pexels.com/photos/2379004/pexels-photo-2379004.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500","14","4.5","1000","Mumbai","Male"
"Dr. Leena Shah","Dermatologist","9123456826","https://img.freepik.com/free-photo/portrait-young-beautiful-woman_23-2148378420.jpg","10","4.3","850","Pune","Female"
"Dr. Hemant Bhargava","Cardiologist","9123456827","https://images.pexels.com/photos/3778691/pexels-photo-3778691.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500","21","4.7","1600","Ahmedabad","Male"
"Dr. Pallavi Singh","Gynecologist","9123456828","https://img.freepik.com/free-photo/portrait-young-beautiful-woman_23-2148292021.jpg","17","4.6","1250","Mumbai","Female"
"Dr. Vivek Saxena","Nephrologist","9123456829","https://images.pexels.com/photos/1704127/pexels-photo-1704127.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500","16","4.7","1400","Delhi","Male"
"Dr. Anjali Kapoor","Pediatrician","9123456830","https://img.freepik.com/free-photo/portrait-young-beautiful-woman_23-2148300082.jpg","13","4.6","1100","Pune","Female"
"Dr. Rakesh Patil","Orthopedic Surgeon","9123456831","https://images.pexels.com/photos/461889/pexels-photo-461889.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500","12","4.4","900","Bangalore","Male"
"Dr. Snehal Desai","Gastroenterologist","9123456832","https://img.freepik.com/free-photo/portrait-young-beautiful-woman_23-2148378321.jpg","18","4.7","1250","Mumbai","Female"
"Dr. Tarun Jain","Pulmonologist","9123456833","https://images.pexels.com/photos/273937/pexels-photo-273937.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500","15","4.5","1100","Hyderabad","Male"
"Dr. Kiran Rao","Neurologist","9123456834","https://img.freepik.com/free-photo/portrait-confident-woman_23-2148299322.jpg","20","4.8","1450","Pune","Female"
"Dr. Abhay Gupta","Cardiologist","9123456835","https://images.pexels.com/photos/2379004/pexels-photo-2379004.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500","19","4.7","1550","Bangalore","Male"
"Dr. Nandita Roy","Psychiatrist","9123456836","https://img.freepik.com/free-photo/portrait-young-beautiful-woman_23-2148378420.jpg","14","4.5","1000","Kolkata","Female"
"Dr. Rajiv Menon","Nephrologist","9123456837","https://images.pexels.com/photos/1704127/pexels-photo-1704127.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500","17","4.6","1350","Chennai","Male"
"Dr. Sanjay Kapoor","ENT Specialist","9123456798","https://images.pexels.com/photos/356372/pexels-photo-356372.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500","11","4.4","1000","Delhi","Male"
